Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Koyama Tomoyoshi,1,5.0,3.0,0.0,0.0,JP,17.0,0.021289918597370068
Brett Jack,1,4.0,6.0,0.0,0.0,GB,18.0,0.022542266750156543
Coleman Rod,1,4.0,6.0,0.0,0.0,NZ,18.0,0.022542266750156543
Schurgers Jos,1,4.0,6.0,0.0,0.0,NL,18.0,0.022542266750156543
Tournadre Jean Louis,1,4.0,4.0,0.0,1.0,0,22.0,0.027551659361302442
Lega Mario,1,4.0,4.0,0.0,1.0,IT,22.0,0.027551659361302442
Brigaglia Domenico,1,4.0,4.0,1.0,0.0,IT,17.5,0.021916092673763307
Graf Ulrich,1,4.0,4.0,1.0,0.0,CH,17.5,0.021916092673763307
Prein Stefan,1,3.0,4.0,2.0,0.0,DE,17.0,0.021289918597370068
Minter Derek,1,3.0,4.0,0.0,0.0,GB,14.0,0.017532874139010644
Vermeulen Chris,1,3.0,3.0,3.0,0.0,AU,17.5,0.021916092673763307
Binder Darryn,1,3.0,2.0,3.0,0.0,ZA,16.5,0.020663744520976832
Bell Artie,1,3.0,1.0,0.0,0.0,IE,11.0,0.013775829680651221
Ito Fumio,1,3.0,0.0,0.0,0.0,JP,10.0,0.012523481527864746
Korhonen Pentti,1,2.0,7.0,1.0,0.0,FI,16.5,0.020663744520976832
Williams John,1,2.0,5.0,0.0,0.0,GB,13.0,0.01628052598622417
Schneider Bert,1,2.0,5.0,0.0,0.0,AT,13.0,0.01628052598622417
Marsovszky Gyula,1,2.0,5.0,0.0,0.0,CH,13.0,0.01628052598622417
Aoki Nobuatsu,1,2.0,4.0,1.0,0.0,JP,13.5,0.016906700062617408
Chevallier Olivier,1,2.0,4.0,1.0,0.0,FR,13.5,0.016906700062617408
Mcconnachie Ian,1,2.0,4.0,1.0,0.0,GB,13.5,0.016906700062617408
Spies Ben,1,2.0,3.0,1.0,0.0,US,12.5,0.015654351909830933
North Alan,1,2.0,2.0,6.0,0.0,ZA,19.0,0.023794614902943018
Lucchi Marcellino,1,2.0,2.0,3.0,0.0,0,14.5,0.018159048215403883
Selini Jean Claude,1,2.0,2.0,2.0,0.0,0,13.0,0.01628052598622417
Bolle Jacques,1,2.0,2.0,1.0,0.0,FR,11.5,0.014402003757044458
Simeon Xavier,1,2.0,1.0,2.0,0.0,BE,12.0,0.015028177833437696
Van Dulmen Boet,1,2.0,1.0,1.0,0.0,0,10.5,0.013149655604257984
Spaggiari Bruno,1,2.0,1.0,0.0,0.0,IT,9.0,0.011271133375078271
Kissling Jorge,1,2.0,0.0,0.0,0.0,AR,8.0,0.010018785222291797
Zeelenberg Wilco,1,1.0,9.0,1.0,0.0,NL,16.5,0.020663744520976832
Puig Alberto,1,1.0,7.0,0.0,0.0,ES,13.0,0.01628052598622417
Nieto Pablo,1,1.0,6.0,3.0,0.0,ES,16.5,0.020663744520976832
Ahearn Jack,1,1.0,6.0,0.0,0.0,AU,12.0,0.015028177833437696
Aegerter Dominique,1,1.0,5.0,1.0,0.0,CH,12.5,0.015654351909830933
Mcwilliams Jeremy,1,1.0,4.0,3.0,0.0,GB,14.5,0.018159048215403883
Newcombe Kim,1,1.0,4.0,0.0,0.0,NZ,10.0,0.012523481527864746
Espargaro Aleix,1,1.0,3.0,3.0,0.0,ES,13.5,0.016906700062617408
Caldarella Benedicto,1,1.0,2.0,0.0,0.0,AR,8.0,0.010018785222291797
Toba Kaito,1,1.0,2.0,0.0,0.0,JP,8.0,0.010018785222291797
Tanaka Kenjiro,1,1.0,2.0,0.0,0.0,JP,8.0,0.010018785222291797
Conforti Pier Luigi,1,1.0,2.0,0.0,0.0,0,8.0,0.010018785222291797
Guilleux Herve,1,1.0,2.0,0.0,0.0,FR,8.0,0.010018785222291797
Oettl Philipp,1,1.0,1.0,1.0,0.0,DE,8.5,0.010644959298685034
Crafar Simon,1,1.0,1.0,1.0,0.0,NZ,8.5,0.010644959298685034
Agostini Duilio,1,1.0,1.0,0.0,0.0,IT,7.0,0.008766437069505322
Cluzel Jules,1,1.0,1.0,0.0,0.0,FR,7.0,0.008766437069505322
